timestamp,Time,slice_type,slice_id,cpu_util_pct,mem_util_pct,bw_util_pct,active_users,queue_len,congestion_flag,LTE/5g Category,Packet Loss Rate,Packet delay,IoT,LTE/5G,GBR,Non-GBR,AR/VR/Gaming,Healthcare,Industry 4.0,IoT Devices,Public Safety,Smart City & Home,Smart Transportation,Smartphone
2025-01-01 00:00:00,0,1,1_01,83.18,56.14,84.46,186,5,0,17,1e-06,60,0,1,1,0,0,0,0,0,0,0,0,1
2025-01-01 00:01:00,0,1,1_01,72.76,57.52,77.21,183,0,0,17,1e-06,60,0,1,1,0,0,0,0,0,0,0,0,1
2025-01-01 00:02:00,0,1,1_01,77.84,60.1,80.64,186,3,0,17,1e-06,60,0,1,1,0,0,0,0,0,0,0,0,1
2025-01-01 00:03:00,0,1,1_01,80.22,58.89,85.46,181,9,0,17,1e-06,60,0,1,1,0,0,0,0,0,0,0,0,1
2025-01-01 00:04:00,0,1,1_01,77.25,57.56,77.7,185,8,0,17,1e-06,60,0,1,1,0,0,0,0,0,0,0,0,1
2025-01-01 00:05:00,0,1,1_01,83.81,58.41,85.58,178,11,0,17,1e-06,60,0,1,1,0,0,0,0,0,0,0,0,1
2025-01-01 00:06:00,0,1,1_01,79.09,55.85,88.62,197,8,0,17,1e-06,60,0,1,1,0,0,0,0,0,0,0,0,1
2025-01-01 00:07:00,0,1,1_01,79.21,56.79,80.34,170,10,0,17,1e-06,60,0,1,1,0,0,0,0,0,0,0,0,1
2025-01-01 00:08:00,0,1,1_01,82.56,58.63,84.28,190,13,0,17,1e-06,60,0,1,1,0,0,0,0,0,0,0,0,1
2025-01-01 00:09:00,0,1,1_01,80.96,59.46,86.85,191,11,0,17,1e-06,60,0,1,1,0,0,0,0,0,0,0,0,1
2025-01-01 00:10:00,0,1,1_01,77.55,56.1,80.54,175,9,0,17,1e-06,60,0,1,1,0,0,0,0,0,0,0,0,1
2025-01-01 00:11:00,0,1,1_01,82.38,56.56,86.69,197,12,0,17,1e-06,60,0,1,1,0,0,0,0,0,0,0,0,1
2025-01-01 00:12:00,0,1,1_01,79.17,60.58,81.29,189,9,0,17,1e-06,60,0,1,1,0,0,0,0,0,0,0,0,1
2025-01-01 00:13:00,0,1,1_01,80.04,57.48,81.77,188,8,0,17,1e-06,60,0,1,1,0,0,0,0,0,0,0,0,1
2025-01-01 00:14:00,0,1,1_01,79.12,60.1,80.22,182,7,0,17,1e-06,60,0,1,1,0,0,0,0,0,0,0,0,1
2025-01-01 00:15:00,0,1,1_01,77.07,57.7,83.45,180,6,0,17,1e-06,60,0,1,1,0,0,0,0,0,0,0,0,1
2025-01-01 00:16:00,0,1,1_01,83.37,57.79,85.9,180,9,0,17,1e-06,60,0,1,1,0,0,0,0,0,0,0,0,1
2025-01-01 00:17:00,0,1,1_01,81.77,56.99,82.26,184,10,0,17,1e-06,60,0,1,1,0,0,0,0,0,0,0,0,1
2025-01-01 00:18:00,0,1,1_01,77.93,58.88,79.78,192,5,0,17,1e-06,60,0,1,1,0,0,0,0,0,0,0,0,1
2025-01-01 00:19:00,0,1,1_01,73.56,59.53,79.47,183,2,0,17,1e-06,60,0,1,1,0,0,0,0,0,0,0,0,1
2025-01-01 00:20:00,0,1,1_01,79.05,55.97,83.12,175,6,0,17,1e-06,60,0,1,1,0,0,0,0,0,0,0,0,1
2025-01-01 00:21:00,0,1,1_01,82.96,57.02,88.74,188,9,0,17,1e-06,60,0,1,1,0,0,0,0,0,0,0,0,1
2025-01-01 00:22:00,0,1,1_01,77.18,58.95,84.39,188,2,0,17,1e-06,60,0,1,1,0,0,0,0,0,0,0,0,1
2025-01-01 00:23:00,0,1,1_01,77.73,57.41,81.85,186,3,0,17,1e-06,60,0,1,1,0,0,0,0,0,0,0,0,1
2025-01-01 00:24:00,0,1,1_01,77.09,56.89,85.41,187,4,0,17,1e-06,60,0,1,1,0,0,0,0,0,0,0,0,1
2025-01-01 00:25:00,0,1,1_01,80.06,59.18,81.71,180,6,0,17,1e-06,60,0,1,1,0,0,0,0,0,0,0,0,1
2025-01-01 00:26:00,0,1,1_01,78.46,59.34,80.8,175,2,0,17,1e-06,60,0,1,1,0,0,0,0,0,0,0,0,1
